Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Residential Type
220186,2022,09/01/2023,Harwinton,14 MAPLE DR,123340.0,310000.0,0.3978,Single Family
220911,2022,09/06/2023,Hartford,41-43 SHARON ST,101173.0,325000.0,0.3113,Three Family
220280,2022,07/31/2023,Madison,16 RIDGEWOOD AVE,312200.0,500000.0,0.6244,Single Family
220648,2022,06/20/2023,Norwich,35 GLEZEN ST,77800.0,215000.0,0.3618,Single Family
2200017,2022,10/18/2022,New Milford,196 MERRYALL RD,291820.0,474900.0,0.6144,Single Family
220443,2022,06/08/2023,Enfield,3 ALBAN RD,159400.0,275000.0,0.5796,Single Family
220145,2022,02/21/2023,Wethersfield,225 CLEARFIELD RD,150780.0,298000.0,0.5059,Single Family
2200062,2022,02/06/2023,New Fairfield,9 BEAVER BOG RD,312800.0,815000.0,0.3838,Single Family
220164,2022,04/12/2023,Madison,237 COUNTY RD,271300.0,518000.0,0.5237,Single Family
220101,2022,04/24/2023,Griswold,554 TAYLOR HILL RD,45360.0,70000.0,0.648,Single Family
220079,2022,02/23/2023,Suffield,20 DYLAN DR,247730.0,150000.0,1.6515,Single Family
220062,2022,01/03/2023,North Branford,26 OAK HILL DR,190900.0,355000.0,0.5377,Single Family
220483,2022,02/03/2023,Fairfield,940 SOUTH PINE CREEK ROAD,603400.0,1050000.0,0.5746,Condo
2200118,2022,01/23/2023,Willington,22 RED OAK HILL RD,170570.0,297900.0,0.5726,Single Family
22003,2022,10/05/2022,Thompson,54 DONOVAN DR,244800.0,510000.0,0.48,Single Family
22002,2022,10/04/2022,Sherman,14 RT 37 CENTER,465200.0,1025000.0,0.4538,Single Family
22070,2022,08/03/2023,Deep River,39 PINEWOOD TRAIL,367360.0,627000.0,0.5859,Single Family
220429,2022,12/20/2022,Bridgeport,65 STEUBEN ST UNIT #11,52030.0,180000.0,0.289,Condo
220334,2022,02/17/2023,Torrington,32 SOUTH ST,90480.0,171203.0,0.5285,Three Family
220066,2022,11/10/2022,Trumbull,6 FIREHOUSE ROAD,340620.0,680922.0,0.5002,Single Family
220485,2022,04/14/2023,West Haven,146 WEST WALK,87640.0,260000.0,0.337,Condo
220027,2022,11/23/2022,Somers,53 ELEANOR ROAD,225700.0,442900.0,0.5096,Condo
220879,2022,08/21/2023,Hartford,45-51 WILLARD ST UNIT 3EL,14222.0,69900.0,0.2034,Condo
22014,2022,11/04/2022,Beacon Falls,108 FIELDSTONE LANE,0.0,713390.0,0.0,Condo
220005,2022,10/03/2022,Ellington,90 TRIPP RD,278260.0,600000.0,0.4638,Single Family
220150,2022,12/21/2022,Shelton,8 QUAKER RIDGE RD,236950.0,437010.0,0.5422,Single Family
220143,2022,03/02/2023,East Lyme,205 GRASSY HILL,319620.0,607000.0,0.5265,Single Family
220177,2022,01/31/2023,Newington,106 GLENVIEW DR,128980.0,300000.0,0.4299,Single Family
22169,2022,03/28/2023,Watertown,2 TOWER RD,100700.0,295000.0,0.3413,Single Family
220217,2022,06/14/2023,New Canaan,132 HERITAGE HILL RD-#132B,261380.0,440000.0,0.594,Condo
220150,2022,04/19/2023,Brookfield,22 SKYLINE DR,256270.0,456000.0,0.5619,Single Family
2200362,2022,12/14/2022,Stamford,72 BUCKINGHAM DRIVE,319925.0,490000.0,0.6529,Single Family
221880,2022,06/20/2023,Manchester,195H OAKLAND STREET,87300.0,103000.0,0.8475,Condo
220068,2022,12/07/2022,Brookfield,6 WHIPPOORWILL LANE,293080.0,421000.0,0.6962,Single Family
22114,2022,01/17/2023,Montville,24 KIM AVE,127330.0,235000.0,0.5418,Single Family
220200,2022,07/10/2023,East Hampton,51 MAIN ST,148960.0,390000.0,0.3819,Single Family
220024,2022,10/14/2022,Windsor Locks,377 REED AVE,124110.0,220000.0,0.5641,Single Family
220151,2022,12/16/2022,Wallingford,1760 TUTTLE AVE,295100.0,669000.0,0.4411,Single Family
220055,2022,10/25/2022,New Haven,262 PEAT MEADOW RD,251160.0,447000.0,0.5618,Three Family
